Threshold,ThresholdLabel,ParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDTWDSum,MDDRateSum,PFNet
0.5,>=50%,277,1882,1150,0.6110520722635494,13454.180000000002,672709.0,2.690836,12488.119999999999,624406.0,2.497624,1.625423249777335
0.6,>=60%,181,663,494,0.7450980392156863,13665.980000000003,683299.0,2.733196,3251.72,162586.0,0.650344,3.7441947324878124
0.7,>=70%,138,286,253,0.8846153846153846,10002.5,500125.0,2.0005,863.0,43150.0,0.1726,10.457734493192136
0.8,>=80%,123,182,176,0.967032967032967,8425.38,421269.0,1.685076,189.07999999999998,9454.0,0.037816,35.30529315960912
0.9,>=90%,119,152,152,1.0,7873.340000000001,393667.0,1.574668,0.0,0.0,0.0,inf
1.0,>=100%,119,152,152,1.0,7873.340000000001,393667.0,1.574668,0.0,0.0,0.0,inf
