RuleID,RunID,StrategyID,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyMin,BodyMax,GapBinIndex,GapBin,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
21,G0021,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,21,101以上,101,,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
22,G0022,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,1,2~5,2,5.0,1,1630,1439,0.8828220858895706,1439,691,748,542,896,1,0.3766504517025712,-2078.0,-7794.539999999928,-389726.9999999964,-1.5589079999999855,8993.98000000002,-16788.52000000004,0.5357220291008379,-5.416636553161868,7849.019999999921,1.5698039999999842,51804.0,90123.0,143900.0
23,G0023,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,2,6~10,6,10.0,1,59,47,0.7966101694915254,47,25,22,19,28,0,0.40425531914893614,19.0,-184.04000000000005,-9202.000000000002,-0.03680800000000001,589.3599999999999,-773.4000000000001,0.7620377553659166,-3.915744680851065,402.32000000000005,0.08046400000000001,1692.0,3760.0,4700.0
24,G0024,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,3,11~15,11,15.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
25,G0025,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,4,16~20,16,20.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
26,G0026,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,5,21~25,21,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
27,G0027,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,6,26~30,26,30.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
28,G0028,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,7,31~35,31,35.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
29,G0029,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,8,36~40,36,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
30,G0030,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,9,41~45,41,45.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
31,G0031,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,10,46~50,46,50.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
32,G0032,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,11,51~55,51,55.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
33,G0033,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,12,56~60,56,60.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
34,G0034,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,13,61~65,61,65.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
35,G0035,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,14,66~70,66,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
36,G0036,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,15,71~75,71,75.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
37,G0037,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,16,76~80,76,80.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
38,G0038,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,17,81~85,81,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
39,G0039,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,18,86~90,86,90.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
40,G0040,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,19,91~95,91,95.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
41,G0041,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,20,96~100,96,100.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
42,G0042,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,21~40,21,40.0,21,101以上,101,,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
43,G0043,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,1,2~5,2,5.0,1,426,373,0.8755868544600939,373,178,195,150,223,0,0.40214477211796246,-320.0,-1854.9599999999973,-92747.99999999987,-0.3709919999999995,4051.0999999999976,-5906.06,0.6859225947586034,-4.973083109919564,1982.919999999997,0.3965839999999994,13428.0,26020.0,37300.0
44,G0044,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,2,6~10,6,10.0,1,21,17,0.8095238095238095,17,9,8,9,8,0,0.5294117647058824,59.0,-15.800000000000018,-790.0000000000009,-0.0031600000000000035,339.84000000000003,-355.64000000000004,0.9555730514002924,-0.9294117647058835,200.60000000000002,0.04012000000000001,612.0,1428.0,1700.0
45,G0045,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,3,11~15,11,15.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
46,G0046,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,4,16~20,16,20.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
47,G0047,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,5,21~25,21,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
48,G0048,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,6,26~30,26,30.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
49,G0049,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,7,31~35,31,35.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
50,G0050,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,8,36~40,36,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
51,G0051,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,9,41~45,41,45.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
52,G0052,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,10,46~50,46,50.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
53,G0053,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,11,51~55,51,55.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
54,G0054,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,12,56~60,56,60.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
55,G0055,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,13,61~65,61,65.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
56,G0056,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,14,66~70,66,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
57,G0057,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,15,71~75,71,75.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
58,G0058,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,16,76~80,76,80.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
59,G0059,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,17,81~85,81,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
60,G0060,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,18,86~90,86,90.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
61,G0061,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,19,91~95,91,95.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
62,G0062,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,20,96~100,96,100.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
63,G0063,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,41~60,41,60.0,21,101以上,101,,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
64,G0064,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,1,2~5,2,5.0,1,120,116,0.9666666666666667,116,60,56,51,65,0,0.4396551724137931,-260.0,-751.3799999999999,-37568.99999999999,-0.15027599999999997,1344.48,-2095.86,0.6414932295096046,-6.477413793103447,953.4199999999996,0.1906839999999999,4176.0,8793.0,11600.0
65,G0065,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,2,6~10,6,10.0,1,10,9,0.9,9,3,6,5,4,0,0.5555555555555556,95.0,55.19999999999999,2759.9999999999995,0.011039999999999998,233.12,-177.92,1.3102517985611513,6.133333333333332,114.0,0.0228,324.0,766.0,900.0
66,G0066,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,3,11~15,11,15.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
67,G0067,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,4,16~20,16,20.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
68,G0068,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,5,21~25,21,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
69,G0069,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,6,26~30,26,30.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
70,G0070,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,7,31~35,31,35.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
71,G0071,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,8,36~40,36,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
72,G0072,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,9,41~45,41,45.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
73,G0073,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,10,46~50,46,50.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
74,G0074,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,11,51~55,51,55.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
75,G0075,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,12,56~60,56,60.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
76,G0076,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,13,61~65,61,65.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
77,G0077,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,14,66~70,66,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
78,G0078,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,15,71~75,71,75.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
79,G0079,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,16,76~80,76,80.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
80,G0080,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,17,81~85,81,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
81,G0081,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,18,86~90,86,90.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
82,G0082,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,19,91~95,91,95.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
83,G0083,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,20,96~100,96,100.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
84,G0084,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,4,61~80,61,80.0,21,101以上,101,,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
85,G0085,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,81~100,81,100.0,1,2~5,2,5.0,1,67,63,0.9402985074626866,63,30,33,32,31,0,0.5079365079365079,192.0,-78.66,-3933.0,-0.015732,1141.22,-1219.8800000000003,0.9355182476964945,-1.2485714285714284,440.48,0.088096,2268.0,4965.0,6300.0
86,G0086,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,81~100,81,100.0,2,6~10,6,10.0,1,10,9,0.9,9,3,6,3,6,0,0.3333333333333333,-375.0,-414.15999999999997,-20708.0,-0.082832,96.84,-510.99999999999994,0.18951076320939336,-46.01777777777777,414.15999999999997,0.082832,324.0,734.0,900.0
87,G0087,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,81~100,81,100.0,3,11~15,11,15.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
88,G0088,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,81~100,81,100.0,4,16~20,16,20.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
