Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
小台全日 比例,0.8,勝率 > 80%,2023,98,2,2,2,1.0,121.36,6068.0,0.024272,0.0,0.0,0.0,0.0
小台全日 比例,0.8,勝率 > 80%,2024,98,13,14,14,1.0,499.96,24998.0,0.099992,0.0,0.0,0.0,0.0
小台全日 比例,0.8,勝率 > 80%,2025,98,40,43,42,0.9767441860465116,2095.6,104780.0,0.41912,21.48,0.004296,21.48,0.004296
小台全日 比例,0.8,勝率 > 80%,2026,98,20,21,21,1.0,5635.219999999999,281761.0,1.127044,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2019,96,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2020,96,23,24,24,1.0,229.78000000000003,11489.0,0.045956,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2021,96,6,6,6,1.0,164.95999999999998,8248.0,0.032992,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2022,96,6,6,6,1.0,171.24,8562.0,0.034248,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2023,96,2,2,2,1.0,121.36,6068.0,0.024272,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2024,96,13,14,14,1.0,499.96000000000004,24998.0,0.099992,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2025,96,38,39,39,1.0,2008.42,100421.0,0.401684,0.0,0.0,0.0,0.0
小台全日 比例,0.9,勝率 > 90%,2026,96,19,19,19,1.0,5571.74,278587.0,1.114348,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2019,96,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2020,96,23,24,24,1.0,229.78000000000003,11489.0,0.045956,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2021,96,6,6,6,1.0,164.95999999999998,8248.0,0.032992,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2022,96,6,6,6,1.0,171.24,8562.0,0.034248,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2023,96,2,2,2,1.0,121.36,6068.0,0.024272,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2024,96,13,14,14,1.0,499.96000000000004,24998.0,0.099992,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2025,96,38,39,39,1.0,2008.42,100421.0,0.401684,0.0,0.0,0.0,0.0
小台全日 比例,1.0,勝率 = 100%,2026,96,19,19,19,1.0,5571.74,278587.0,1.114348,0.0,0.0,0.0,0.0
