Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
小台日盤,0.7,勝率 > 70%,2023,128,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,0.7,勝率 > 70%,2024,128,9,12,12,1.0,325.48,16274.0,0.065096,0.0,0.0,0.0,0.0
小台日盤,0.7,勝率 > 70%,2025,128,7,8,8,1.0,189.83999999999997,9492.0,0.037968,0.0,0.0,0.0,0.0
小台日盤,0.7,勝率 > 70%,2026,128,122,271,234,0.8634686346863468,7399.879999999999,369994.0,1.479976,1219.0,0.2438,231.8,0.04636
小台日盤,0.8,勝率 > 80%,2020,112,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,0.8,勝率 > 80%,2021,112,3,3,3,1.0,81.04,4052.0,0.016208,0.0,0.0,0.0,0.0
小台日盤,0.8,勝率 > 80%,2022,112,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,0.8,勝率 > 80%,2023,112,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,0.8,勝率 > 80%,2024,112,5,5,5,1.0,176.35999999999999,8818.0,0.035272,0.0,0.0,0.0,0.0
小台日盤,0.8,勝率 > 80%,2025,112,3,3,3,1.0,44.800000000000004,2240.0,0.00896,0.0,0.0,0.0,0.0
小台日盤,0.8,勝率 > 80%,2026,112,106,154,149,0.9675324675324676,5902.84,295142.0,1.180568,229.76,0.045952,62.0,0.0124
小台日盤,0.9,勝率 > 90%,2020,108,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,0.9,勝率 > 90%,2021,108,3,3,3,1.0,81.04,4052.0,0.016208,0.0,0.0,0.0,0.0
小台日盤,0.9,勝率 > 90%,2022,108,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,0.9,勝率 > 90%,2023,108,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,0.9,勝率 > 90%,2024,108,4,4,4,1.0,151.88,7594.0,0.030376,0.0,0.0,0.0,0.0
小台日盤,0.9,勝率 > 90%,2025,108,2,2,2,1.0,36.2,1810.0,0.00724,0.0,0.0,0.0,0.0
小台日盤,0.9,勝率 > 90%,2026,108,102,126,126,1.0,5387.3600000000015,269368.0,1.077472,0.0,0.0,0.0,0.0
小台日盤,1.0,勝率 = 100%,2020,108,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,1.0,勝率 = 100%,2021,108,3,3,3,1.0,81.04,4052.0,0.016208,0.0,0.0,0.0,0.0
小台日盤,1.0,勝率 = 100%,2022,108,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,1.0,勝率 = 100%,2023,108,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤,1.0,勝率 = 100%,2024,108,4,4,4,1.0,151.88,7594.0,0.030376,0.0,0.0,0.0,0.0
小台日盤,1.0,勝率 = 100%,2025,108,2,2,2,1.0,36.2,1810.0,0.00724,0.0,0.0,0.0,0.0
小台日盤,1.0,勝率 = 100%,2026,108,102,126,126,1.0,5387.3600000000015,269368.0,1.077472,0.0,0.0,0.0,0.0
